NAME                     INSTALLED                        FIXED IN                                             TYPE            VULNERABILITY        SEVERITY    EPSS          RISK
openssl                  3.3.2                            3.0.19, *3.3.6, 3.4.4, 3.5.5, 3.6.1                  UnknownPackage  CVE-2025-15467       Critical    47.6% (98th)  43.6
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-15467       Medium      47.6% (98th)  23.8
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.21                                    deb             CVE-2025-15467       Medium      47.6% (98th)  23.8
libgssapi-krb5-2         1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.5                                    deb             CVE-2024-3596        Medium      14.9% (96th)  7.4
libk5crypto3             1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.5                                    deb             CVE-2024-3596        Medium      14.9% (96th)  7.4
libkrb5-3                1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.5                                    deb             CVE-2024-3596        Medium      14.9% (96th)  7.4
libkrb5support0          1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.5                                    deb             CVE-2024-3596        Medium      14.9% (96th)  7.4
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.25                                    deb             CVE-2026-45447       High        5.2% (91st)   3.9
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.25                                    deb             CVE-2026-45447       High        5.2% (91st)   3.9
openssl                  3.3.2                            1.0.2zl, 1.1.1zb, 3.0.16, 3.1.8, 3.2.4, *3.3.3, ...  UnknownPackage  CVE-2024-9143        Medium      5.8% (92nd)   2.7
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2014-5271        Medium      4.7% (90th)   2.3
torch                    2.5.1+cu124                      2.6.0                                                python          GHSA-53q9-r3pm-6pq6  Critical    1.9% (78th)   1.8
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.19                                    deb             CVE-2024-9143        Low         5.8% (92nd)   1.8
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.19                                    deb             CVE-2024-9143        Low         5.8% (92nd)   1.8
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3964        Medium      3.5% (87th)   1.7
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3964        Medium      3.5% (87th)   1.7
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3964        Medium      3.5% (87th)   1.7
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3964        Medium      3.5% (87th)   1.7
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3964        Medium      3.5% (87th)   1.7
